Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Turkiye","TUR","127127600","133570000","140280000","115272880","102339680","116387680","102543660","97539200","116104900","117673600","135615730","149607270","231757900","400844750","665706094.16946","500627140.032469","480994703.168455","599475398.267076","828818042.985519","1927833459.257","2221027746.07359","1497767373.44672","1722245721.54259","1440325477.84012","1171477553.97302","1261615380.90568","1500912225.31227","1854828212.25907","1567941509.79793","1517736685.582","1576564695.29153","1472026903.72466","1348514202.5817","1574845647.47086","1463899545.06727","1449055082.2255","1383617567.1548","1087707723.1116","1078795409.9735","1086803277.7662","1026089255.2285","1032126802.4499","1279426624.0134","1557522272.4131","1634978442.9405","1914940505.0878","2372958438.7609","3112238296.772","3246619800.4408","4059441256.65919","5246480007.07321","9614873826.9086","19240334366.4455","20127099347.903","20515523593.55","17568800734.3221","13891325946.2214","23541971883.5023","20130399570.2525","27087400414.7119","43553306643.2492","38488538624.4054","45846361819.1085","48164284243.4071"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","United States","USA","18109364000","17019630000","16089063900","15631648000","15524093600","14113323200","13306746600","12133792000","13039280000","11926816000","11821625800","12722508000","17910453000","30977632500","51468405000","38528077500","37013130000","45781872500","62468660000","135475200000","155816640000","104983725000","120635307000","100483285000","81018157000.0002","85886550000.0001","102431436000","127018158000","107432167500","105033930000","100835349999.999","92611376000.0001","87258179999.9997","102267479582.12","100306489500","101214022000","96619431999.9996","75929091416.4399","75291355383.8996","75950498156.3996","71799138950.0001","72443000000.0002","89800499999.9998","109130264214.868","114574805299.86","134175425860.62","166234850297.724","218024707304.715","227438667680.091","284380052662.5","367536702544.5","400354814369","435134213275.008","314975456664.511","315367705033.38","277188861803.8","299651619566.957","339033357871.457","335150098816.777","398262864665.043","494520619414.355","475954923780.429","473927578971.064","539315385477.376"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Afghanistan","AFG","40690800","36204500","36122100","36307800","36489680","36454560","35014050","33228800","39469800","33193600","36958930","40663160","60486800","104617000","173818000","130713000","125587000","155217950","214474000","493568000","568867500","383587500","440908500","368147500","297509500","315555000","377218500","467156500","395891250","386965000","371525000","341224000","","","","","","","","","","","","","","","","","611438550.044","764517876.6","988073448.792","1076300569.264","1169800226.816","846769455.047999","847823962.464","745185240.64","805573365.3296","911445909.896","901006286.4776","1070676529.712","1329458322.8984","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Albania","ALB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19091846.31128","18790747.5","24247291.25","42516183.5","33498367.55432","33700803.22902","34812599.5125","30658340.1905","30678228","27700539.5039999","28872965.64","30311251.26","35504411.9400001","43999714.8629999","57711924.8750002","44014429.3400002","55034634","71126339.46","77478638.5067301","84209326.3731198","60955609.1444898","61031523.4200001","53642964.1999998","57966004.6630001","64825000","64082500","137070000","170199000","163809000","181235000","226864000"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Algeria","DZA","5802800","5729450","5716410","5718040","5724560","5724560","5735970","156288000","245659700","206377600","204376530","238699730","355067900","614119750.000003","1020441943.83269","767383284.83932","737289822.68877","907117608.95076","1249138006.97671","2858498625.54875","3291181522.97069","2219244538.3899","2550786905.00369","2129842863.33751","1721181008.56817","1825579597.15144","2182321298.24618","2702639397.49546","2290348714.77487","2238707701.7056","1978714453.35734","1974082402.30199","1860472173.5496","2180925539.36213","2139612784.73484","2159152627.51781","2061453413.60297","1620132163.14723","1606733302.1541","1620411247.9303","1532202814.7958","1543647579.8544","1913508889.6748","2329428400.3408","2445271753.9827","2863982670.7605","3548993730.6091","4654669691.51399","4855650931.56699","6071308293.27802","7846642580.41699","8547285514.492","9289799540.24399","6724497323.453","6732871541.78702","5917780957.12698","6397344527.14301","7238116048.03331","7155211286.5112","8498340000","10552338000","10156158000","10112913000.0001","11508192000"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","American Samoa","ASM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Andorra","AND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Angola","AGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Antigua and Barbuda","ATG","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Argentina","ARG","105233600","190407550","60741240","77807440","71293600","66095840","84174480","84198400","130183300","135520000","149218410","111867320","259145700","448551000","745254000","560439000","538461000","690150800","966828000","2238463999.99995","2577294000","1737870000","1997566800","1667918000","1347887600","1429644000","1709405700","2116969300","1794023250","1753573000","1629705000","1457892800","1457302250","1708312406.27","1676335500","1691644500","1615099500","104762203.610001","103607996.400002","98104500","5214550","2488500","3084750","3844471.40200043","775249050","902880000","1118832000","1467400000","1530760000","1914000000","2473680000","3038969568.122","3302968880.64","2390881019.67","2393858455.56","2104054695.6","2091218515.0668","2283599673.3285","2257579606.3411","2688039305.413","3753764344.36411","3205129538.943","3597448472.3605","4093788578.032"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Armenia","ARM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3832500","11602499.9999996","12554500","10476220.361","12432959.568","12654900","12240470","12414850","15389454.811813","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
