Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Puerto Rico","PRI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Qatar","QAT","","","","","","","0","4892800","7751500","6512000","6913450","8102091","12051930","20844825","34819550","26352974.9999997","25845049.999999","30202345","57042400","137876480","279717051.790803","283418295.511657","409836101.51926","406494217.873377","371553595.097529","351678965.371069","377493921.335959","403083455.652679","361165685.713983","361494981.507548","320580407.88166","292796214.981452","287069644.641073","336868183.13347","311982602.457651","103761157.5","99066082.5","15723036.5418","15593003.4582","5555385","5252973","5292210","6560235","7986165","18264600","9803430","12148227","332666250","347117225","434021250","560935050","611022100","664102400","480715950","481314600","757199340","1093714075.0796","1237954541.17","1287881048.0631","2067191628.8752","3447944919.583","3319567175.5049","5347741445.1277","6693815603.5668"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Romania","ROU","","","","","","","","","","","","","","255368750","456365500","364229250","370427750","504252150","756422000","1809920000","2188224000","1427422500","1623365700","1381030000","1150267300","1248486000","1269252300","660312400","594452250","871774000","850080000.000005","794539200","768807750","925840476.300004","1006184550","1045385250","1040546500","876113830.19","927867167.76","964500750","925994300","935123000","1160551500","1409470500","1479119587.933","1729117800","2139766200","2780056000","2900007425","3626486250","4686920850","5105272600","5548774400","4016525632.5168","4021527600","3534252000","3820430600","4322531000","4273021100","5075092900","6301712530","6064573200","6038025260","6871091840"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Rwanda","RWA","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","669202.150000006","916882","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Samoa","WSM","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","San Marino","SMR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Sao Tome and Principe","STP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Saudi Arabia","SAU","18298400","65273550","78171030","78193320","78282480","73260320","69359490","69379200","142460000","119680000","127058000","134642180","200281400","346403500","574606500","432110250","415164750","508210950","1025814000","2338304000","2692246500","1815382500","2099912400","1753374000","1416946800","1502892000","1796576400","2224923600","1885509000","1842996000","1769460000","1625145600","1531617000","1795427354.04","1761417000","1777503000.00004","1697073000","1333759245.96","1322728754.04","1333988999.9999","1261372200","1270794000","1575279000","1917681000","2013048000","2357748000","2921677200","3831915000","9029483575","11290098750","14591479350","15894382700","17275148800","12504757650","12520330200","11004602000","11902395691.9","13466669006.5","13312422932.65","15819311143","19642744125.1","18905271314.1","18824772521.35","21422027118.4"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Senegal","SEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Serbia","SRB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241170929.3167","321667979.487801","355131255.325001","458726509.878399","592864468.628901","705854325.075899","818122623.3995","628902856.5917","680091951.066601","617866156.541901","689304708.473299","806991455.611","841426608.704201","1498346962.935","2167529869.201","2185221759.5173","2241643829.6699","2648859988.5399"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Seychelles","SYC","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Sierra Leone","SLE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Singapore","SGP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1124147200","1132544000","1403904000","1709056000","1794048000","2101248000","2603827200","3415040000","3562496000","4454400000","5756928000","6270976000","6815744000","4933632000.00003","4939776000","4341760000","4693606400","5310464000","5249638400","6238208000","7745945600","8996754300","8958446050","15253510400"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Sint Maarten (Dutch part)","SXM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Slovak Republic","SVK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","503938487.1","494392500","498907500","476332500","374358012.9","371261987.09999","374422500","354040500","312168500","386964750","471075250","494502000","579177000","717705300","941303750","981947750","1111425000.00001","1436421000","1564682000","1700608000","1230999000","1228914000","1080140000","1167672100","1321133500","1306001350","1551937000","1927030900","1854681900","1846784650.00002","2101585600.00005"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Slovenia","SVN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112402.588776007","105933.71807003","126475.972134948","124078.93565011","125212.076619864","119543.997459888","93951.7109298706","93174.7089400291","93967.8951001167","88852.6746201515","67220431.6234503","83249014.4999704","101332271.06516","106365363.134861","83360764.4154301","103298250.637211","85501062.4999981","89584250","112012499.999996","143830633.769999","156162000","169728000","122859000","123012000.000005","108120000","116881800","132243000","130728300","155345999.999996","192892200","185650200","184859700","210364800"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Solomon Islands","SLB","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29422786.432","28956625.665","28992686.22","25482792.2","27547859.983","31168295.624","30811296.6344","36613431.728","0","10010550","14317565",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Somalia","SOM","0","0","0","0","0","0","0","0","0","809600","112110","130890","194700","336750","491681.000530504","369749.385117397","355249.4092305","1776592.66642","3349655.18350001","7588599.3537704","11182182.069542","7540148.2148311","8755040.42953365","7310238.39760803","5907592.39313904","6286945.19909335","7515495.040751","9307370.5531532","7887520.6970277","7709678.975035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","South Africa","ZAF","181204000","299829500","499747500","631440000","576319200","426356800","640458000","585728000","1487869000","1121472000","711151100","511343600","1163657000","2131627500","3403625000","2489437500","1707282500","1603314000","2212540000","5135360000","7162425000","3692775000.00001","3458733000","2971885000","2269088000","1582680000","1884138000.00001","2822303000","1423567500","1235080000","1574650000","2287792000","2216112500","1859493952.4","1609650000","1643687500","1399457500","1157898039.9","1151199960","1143585000","1619255000","1581580000","1912545000","1658568750","1744992000","2045331000","2536443000","3330831250","3486827750","4365225000","5644488000","6153089000","6692608000","4844499000","4854150000","4267560000","4614539300","5223598500","5163767850","6136167000","7621133000","7335003000","7305582850","8315596800"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","South Sudan","SSD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Spain","ESP","181061600","318353550","447387990","574505160","617725680","812887520","789558030","789078400","939523700","788796800","531812470","621029420","923786600","1601470750","2660795500","2000946750","1922478250","2381383150","3281746000","7478272000","8610237000","5805885000","6673481400.00004","5572188999.99995","4509504100","4791531000","5793528900","5770472000","5761551000","6302517000","6010235000","5522524799.99999","5204698500","6101171543.82","5985598500","6045676000","5772116000","4536406556.32","5623324004.61","4884907500","4618719050","4653218500","5767797000","7021065750","7369788000","7549820999.99998","8517744300","7548772500","7874716500","9846225000","12725397000","13861674000","15065856000","10905543000","10917918000","9596180000","10373832700","11737214500","11602777450","13787719000","17120128300","16477365300","16407204550","18670907199.9999"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Sri Lanka","LKA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9478214","32205312.0000001","37080139.5","25003147.499811","28739466.899782","23996731.499818","19392378.3","20568627","24588000.9","30450374.1","25805135.25","25223301","24118325","39091187.2","53334996.25","24472268.6235499","24008696.25","24227953.75","23131666.25","18179579.6264498","18029359.0201402","18182840.99175","92350509.3390001","70643820.03","74202982.605","68851681.3432503","72962478","85456053","105895541.7","138886908.75","147857500","737556810.38819","485634565.06988","491273122.70841","728815381.39484","888650593.52613","895048640.17709","758665375.118071","819644365.343161","928492159.92354","820723422.01754","958481606.47","407324161.377","174507019.971","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","St. Kitts and Nevis","KNA","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","St. Lucia","LCA","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","St. Martin (French part)","MAF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","St. Vincent and the Grenadines","VCT","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Sudan","SDN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Suriname","SUR","12458597.906988","12301115.6300738","9767756.3618242","9770541.578922","7273877.2163905","7273877.2163905","9801178.9669973","18780651.6951469","22355378.0121208","8713000.1446783","9250136.8013246","10799664.6679634","16064594.0167505","16568545.3405565","27528139.9199446","20701456.427733","19889634.607038","24347274.422493","12221518.478628","27687687.880785","31878695.323677","21495812.368383","24708016.782677","20630572.1221084","16672097.9954024","17683347.5332358","21138900.7667947","26178925.2013439","22185300.689633","21685083.6722555","20819843.425981","19121809.4426672","18021332.0044368","21125380.8471716","20725207.7740448","36158921.02175","49302980.3719837","55878208.558201","36910127.802658","71331875.8339099","70316589.7728548","73286479.013616","7032747.11849101","8606992.78216201","8984326.52273901","16097480.990886","21845201.319791","33195491.530655","40612387.836658","60428818.5758829","89084145.740801","108518749.791502","123756538.493738","40351207.7359461","51858458.3059779","45580402.8228329","29071724.864533","39142553.71","56762920.14508","81358720.717283","88931530.485","85592659.635","85228205.4225001","96987144.24"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Sweden","SWE","172909200","180776450","181346970","181398680","189648000","202677520","204102000","204304518.78406","269242541.836128","227003134.695452","213585766.875111","252087094.056943","375230022.34476","649915716.88074","1079815422.70162","812032777.66168","780188355.00828","977985094.92501","1355782018.10085","3107095214.36495","3577407478.25808","2412246772.86512","2772718366.09327","2315150047.41647","1870932528.49358","1984414326.36198","2372194373.62355","2937782799.36344","2489620725.96331","2433486681.56319","2336389956.1143","2145837632.4208","2022342734.7405","2370677176.603","2325770001.7683","1818490330.6702","1736205700.3231","1370326994.3483","1358994078.8428","1730301903.3228","1636111481.0231","1648332390.2455","2043276407.7998","2487388718.3114","2611087498.1915","2777475203.7552","3239456974.2955","3988682945.6492","3830943462.9544","4395802723.1662","5681196071.1817","6188481810.7287","6726083431.1251","4868730464.4171","4874793640.587","4284644493.38499","4631862382.047","5240453000","5180429300","6155966000","7643826200","7356844200","7325518700","8336220800"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Syrian Arab Republic","SYR","19330800","19086450","19043010","19048440","19070160","19070160","19108170","19113600","33520000","28160000","29896000","34904000","51920000","89800000","147148500","110657250","106317750","133774450","183286000","426495999.999996","491053500","331117500","380597700","317789500","256813900","272391000","325619700","403255300","341738250","334033000","320705000.000001","294548800","277597250","325411441.670001","319247250","322162750","307585250","241736608.33","239737391.67","241778250","228616850","230324500","285510750","347569250","364854000","427329000","529538100","694513750","721892500.000002","902625000","1166565000","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Tajikistan","TJK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2332047.28036","2300385.32007","2255242.5","1421651","1725360","0","5716325","14554740","20694420","28708212","45130887.5","59664850","80377125","78918825","229650000","332800000","200585385","335202876","428949140","537460331.1","650183250.044196","917276905.000002","946712288.910105","843719522.2584","116060824.2177","492850187.14788",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Tanzania","TZA","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29006250","27693750","21765000.75","21584999.25","21768750","20583750","20737500","25706250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Thailand","THA","106123600","104641550","104403390","104433160","104552240","96790720","92197800","92224000","109778000","92224000","87520540","102094200","151866000.000002","262665000","436410000","328185000","315315000","395385150","548276000","1256960000","1466086500","988582500","1136310300","948790500","766742100","813249000","972168300","1198631600","1015779000","992876000.000031","953260000","875513600","824460500","966468075.259998","948160500","956819500","913524500","717954824.739998","712017175.259998","718078500","649623150","685720000","856875000","1084850000","1182600000","1385100000","1716390000","2251125000","2348325000","2936250000.00002","4497600000","7501900000","8153600000","5902050000","5909400000","5194000000","5614910000","6417675000","6344167500","7538850000","9360945000","14287785000","14226947500","16189840000"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Timor-Leste","TLS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Togo","TGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Tonga","TON","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Trinidad and Tobago","TTO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4453650","9130400","27596800","31774050","21425250","24626910","20562850","16617370","17625300","21069510","26092990","22112475","21613900","20751500","19059040","17962175","21841240.9409","20657175","20845825","19902575","16887318.98192","16901342.2127401","17328215.25","16502678.5","16783550","20876902.5","25515742.9324999","26808228","31414581","38946796.1999998","51080527.5","53329591","66884512.5","86722161","94523940","102755927.039999","74406369.8564987","74541316.3199997","65783218.3999901","71114141.4759998","80582358.9155006","79820464.7824001","94947520.8899994","118015967.689","113665800.130501","113213412.213699","129252092.928"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Tunisia","TUN","3051418.40000001","3414576.45","3406805.01","3508000","3612337.84","3813013.52","3820613.49","4123433.6","5028000","4324566.4","4697932.18","5609552.73000002","8344257.90000001","14432094.75","24135711","18150313.5","17438536.5","24734912.3","36210624","87285760","110030175","74193374.9996209","85280384.9995641","71206974.9996361","57544195","61034550","72961485","90357265","76573162.5","74846650.000001","71860250","76147406.4","71764721","84126084.69651","82854434.25","83800122.9065001","80047071.0549998","62963895.50787","62492863.9266","63105739.9424996","60379000","60346401.5","74640611.9745002","90880982.9984999","95400528.5879998","111736017","138461181.299999","181590750","189605500","237075000","304993500","331756799.28","360588800","262581000","262908000","231080000","249806200","282637000","279399700","332014000","416042000","400421999.999999","398717000","453728000"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Turkmenistan","TKM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Turks and Caicos Islands","TCA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Tuvalu","TUV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Uganda","UGA","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Ukraine","UKR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99975","4492474.88499999","13797000","18177250","11668300","17789260.6130004","31657998.899999","47136600","124490520","133577150","257062500","262867500","227760000","400140000","514917000","697848750","742766500","943950000","1243867500","1379431000","1896960000","1638120000","916560000","932800000","939638000","1063130000","999687000","1233630000","1588524000","1583487000","1576744500","1794288000"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","United Arab Emirates","ARE","","","","","","","","","","","","","","0","0","0","73438750","93807065","130266400","295168000","339846750","269306250","373378680","311761800","251942760","267224400","319443480","395606520","335256300","319717300","306691000","281430240","265333650","311632630.547709","304739321.25","307466250","294661500","230709007.95","228800992.049999","115229250","108956650","109770500","136071750","0","0","0","0","0","0","0","0","0","0","0","0","255457754.7659","273192999.741196","317734658.64711","308860000","1101280000","3502340000","3243740000","4368850000","4939762908.38599"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","United Kingdom","GBR","2848996800","2276454600","2586026730","2490294120","2144146240","2272334240","1951848540","1297401600","1763612900","1480336000","1439529770","967800660.000001","1368092000","2357811250","3921349000","2948896500","2833388250","3666013750","5158676000","9342976000","11103822000","7564822500","8685669000","7253459500","5866949000.00002","6222810000","7430618100","9202741000","7796391000","7613386000","7292285000","6680211200","6203115500","7205539065.55","7066363500","7128576000","6803800500","5345484184.2","6618248570.04","5964441158.646","4301585484.63219","3158080786.245","3458805697.797","4201859369.8205","4397102377.95","5126229822.951","6340947769.5681","8316750094.39879","8675851974.68501","10847812500","14019862500","15271725000.0002","16598400000","12014887500","12029850000","10574560000","11431547311.596","12933938814.723","12785794586.881","15193510551.133","18865691269.368","18157392353.327","18080078035.027","20574587104.83"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Uruguay","URY","182663600","180354650","179874030","171786760","171982640","155441120","147305340","140307200","159597100","165827200","172425180","184511270","229486400","396916000","659464000","496344750","477554000","589861200","822640000","1694720000","2017269000","1348320000","1305820200","992663000.000005","807129400","856413000.000001","1018294500","1263016900.00001","1070342249.99999","1046209000","922075000.000002","800196799.999996","675831000.000005","664104983","653096324.999997","663310670.75","641163484.5","510740989.99962","513286677.36516","522450000","296680450","2212000","2879100","3504695.55450988","3640905.67603016","4322276.3580904","5353096.20300007","7091410.61607027","7385656.09202003","9230025.76492977","11888730.9639997","12928315.1590004","13749965.2678986","9932246.76549911","9921026.34180069","3624595.83120155","3781211.27019882","4296769.54870033","4240467.21700096","5018483.01140022","6206798.21899986","5959808.25300026","5896843.18350029","6686156.43660164"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Uzbekistan","UZB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","478912500","","","","","","","","","","","","","","8419455000","10648980000","10621200000","12112163000","14028130000","14636443000","16448400000","20215859000","21185964000","23071215500","24625056000"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Vanuatu","VUT","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Venezuela, RB","VEN","407976000","402819000","401902200","402016800","402475200","402475200","403277400","403392000","482269000","405152000","409948900","487347100","724933000","1253832500","2085070000","1567995000","1506505000","1867234000","2574140000","5867520000.00003","6755669999.99998","4555349999.99997","5236074000.00002","4371990000.00001","3533117999.99996","3747420000","4479714000.00004","5547785999.99998","4701465000","4595460000","4412100000.00001","4052256000","3819044999.99997","4476848885.39998","4392045000","4432155000.00003","4231605000","3325692114.6","2808927902.4","2832840000","2810368000","3024910000.00005","3619439999.99995","4785857500","5032620000","5884110000","7297836000","9563112500","9967335000","12615000000","16528680000","18004559999.9999","19568640000","14237190000","13998295260.0001","9301044199.99995","6885483919.99999","6759691700","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Viet Nam","VNM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Virgin Islands (U.S.)","VIR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","West Bank and Gaza","PSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Yemen, Rep.","YEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19250000","17680000","16662500","19532499.5","19162500","19337500","18462500","14510000.5","14389999.500002","14512500","13722500","13825000","17137500","20862500","21900000","25650000","31785000","41687500","43487500","54375000","70275000","76550000","83200000","60225000","0","0","0","0","0","0","0","0","0",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Zambia","ZMB","","","","","","7831760","12773970","12777600","7667700","6441600","6838710","8726000","12980000","22450000","31332000","23562000","22638000","27711600","45426000","111104000.000001","127921500","86257500.0000002","99147300.0000003","82785500.0000001","616600","981000","1172700","1936400","5333250","6817000","8085000","7779200","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Zimbabwe","ZWE","","","","","","","22204890","30412800","33603800","28230400","39163760","35645710","35824800","84187500","93623000","49227750","35708750","25072400","36386000","133120000","205735500","185235000","180018600","225085000","214576800","252117000","209913300","204290200","162048750","179648000","145915000","145329600","182287750","196106294.98","180127500","292383000","235581500","223454007.7","179011593.78","212463000","128168150","54746999.9999997","48327749.9999995","50904499.9999997","11081400","0","0","18679862.689735","6370628.0900933","0","0","1053579.08399999","1145104.89599991","486056.703000009","486662.004000008","16436360","461797.699999988","522489.5","516504.950000003","613769","1467493.6","2049279.260216","9845257.09066808","41588191.018643"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Africa Eastern and Southern","AFE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Africa Western and Central","AFW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
